日期,憤怒,羨慕,恐懼,悲傷,希望,快樂,愛,厭惡,不滿,Score,Sleep,Sleeptime,AvgHeartRate,SocialApp,GameApp,FunApp,OtherApp,Temperture,Humidity,Sunshine,Airquality
2018/12/1,2,0,0,0,6,10,12,1,0,10001,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/2,0,0,1,0,6,10,6,0,0,10001,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/3,9,0,3,0,3,10,7,3,10,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/4,10,0,1,8,0,3,0,6,10,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/5,7,0,5,0,0,4,0,3,6,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/6,0,0,5,0,7,10,7,0,0,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/7,10,0,0,10,0,0,0,10,10,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/8,8,1,5,6,0,0,0,10,10,10005,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/9,2,5,1,3,2,2,0,9,0,10005,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/10,0,0,2,0,6,10,10,0,2,10001,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/11,2,0,2,6,1,0,1,0,4,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/12,0,0,3,2,0,1,1,0,7,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/13,0,0,1,0,0,0,5,0,1,10003,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/14,0,0,2,4,1,1,1,2,2,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/15,7,0,2,0,3,10,10,8,7,10002,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/16,0,0,0,0,3,8,6,0,1,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/17,3,0,3,0,3,4,7,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,2,2
2018/12/18,9,0,0,0,1,5,3,5,10,10004,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,2,2
2018/12/19,0,0,0,0,1,8,5,0,0,10001,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,2,2,2
2018/12/20,6,0,0,8,3,7,4,4,7,10003,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/21,0,0,0,0,2,3,4,0,0,10003,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/22,0,0,0,0,3,9,8,0,0,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,2
2018/12/23,2,0,0,0,5,10,8,0,0,10001,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/24,4,0,0,0,0,1,4,3,5,10004,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/25,0,0,2,0,4,8,3,0,0,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
