日期,憤怒,羨慕,恐懼,悲傷,希望,快樂,愛,厭惡,不滿,Score,Sleep,Sleeptime,AvgHeartRate,SocialApp,GameApp,FunApp,OtherApp,Temperture,Humidity,Sunshine,Airquality
2018/12/1,3,1,0,2,3,7,2,2,2,10003,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/2,5,1,2,4,3,2,0,1,3,10002,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/3,0,2,0,0,3,8,2,0,3,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/4,6,2,4,7,0,2,0,2,8,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/5,3,0,2,4,0,0,0,1,6,10002,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,2,1
2018/12/6,0,0,3,0,1,5,4,0,0,10001,3,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,3,1
2018/12/7,0,0,0,2,2,6,1,0,0,10001,3,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,2,1
2018/12/8,0,0,1,0,1,4,1,0,0,10001,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,3,1
2018/12/9,0,0,2,2,0,2,2,0,0,10004,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2018/12/10,6,1,0,0,1,1,0,9,10,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,1,1
2018/12/11,3,0,2,0,1,0,0,5,5,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,1,1
2018/12/12,0,0,1,1,1,1,2,0,0,10004,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2018/12/13,0,0,0,0,1,0,1,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2018/12/14,0,0,0,0,1,1,2,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,2,1
2018/12/15,0,3,1,2,2,3,4,0,0,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,4,1
2018/12/16,0,1,1,2,2,2,4,1,1,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,2,1
2018/12/17,0,0,1,0,0,0,0,4,2,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,4,2
2018/12/18,0,0,2,0,1,0,1,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,5,2
2018/12/19,0,0,0,0,1,0,0,2,1,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,2,5,2
2018/12/20,0,0,0,2,0,1,2,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/21,0,1,0,0,3,4,2,0,0,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/22,0,0,0,0,0,1,2,3,2,10003,3,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2018/12/23,0,0,2,1,3,3,2,0,0,10001,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,1,1
2018/12/24,0,0,2,3,1,0,1,0,0,10004,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2018/12/25,0,1,1,2,2,5,5,0,3,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,2,1
2018/12/26,0,0,3,2,2,0,0,0,0,10003,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,1,1
2018/12/27,0,0,1,0,1,0,1,0,4,10003,3,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2018/12/28,0,0,1,3,2,0,3,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2018/12/29,0,0,0,0,0,2,1,0,0,10001,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,2,1
2018/12/30,0,0,0,0,2,3,2,0,0,10001,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2018/12/31,0,0,0,0,1,5,2,0,0,10001,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2019/1/1,0,2,3,4,0,1,0,2,0,10003,1,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,2,1
2019/1/2,0,2,0,0,2,1,0,0,0,10004,1,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2019/1/13,0,0,0,0,2,3,3,0,0,10004,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,0,1
2019/1/14,0,0,0,0,3,5,4,0,0,10003,1,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,1
2019/1/15,0,0,1,3,2,0,1,0,3,10003,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,1,1
2019/1/16,0,0,0,0,3,2,1,0,0,10003,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,2
2019/1/17,0,0,2,0,1,6,2,0,0,10001,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2019/1/18,0,0,0,0,3,3,2,0,0,10001,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,5,1
2019/1/19,3,0,2,0,1,2,1,0,0,10001,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,5,2
2019/1/20,0,0,0,0,2,6,5,0,3,10001,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,2,2
2019/1/21,2,0,0,3,1,3,0,1,2,10003,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,1
2019/1/22,0,0,0,0,1,4,1,1,1,10003,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,1,2
2019/1/23,2,0,1,3,1,0,1,0,1,10003,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,5,2
2019/1/24,0,0,0,1,2,0,1,0,1,10003,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,5,2
2019/1/25,0,0,1,0,1,0,2,0,0,10003,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,5,2
2019/1/26,0,0,0,0,2,2,1,0,0,10003,3,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,3,2
2019/1/27,0,0,0,0,3,4,3,0,2,10001,1,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,2,3,1
2019/1/28,0,0,0,0,3,4,3,0,2,10001,2,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,4,5,1
2019/1/29,0,0,1,0,4,8,3,0,0,10001,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,1
2019/1/30,0,1,2,0,3,8,3,0,0,10001,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,5,2
2019/1/31,0,1,2,0,3,8,5,2,0,10001,2,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,4,4,2
2019/3/25,0,2,5,7,0,0,0,2,3,10004,4,1,0,0.64 ,0.36 ,0.00 ,0.00 ,2,4,1,1
2019/3/26,0,0,4,0,2,0,0,3,0,10003,4,1,0,0.77 ,0.23 ,0.00 ,0.00 ,2,4,5,2
2019/3/27,0,0,3,0,3,3,4,0,0,10001,4,1,0,0.59 ,0.41 ,0.00 ,0.00 ,2,4,4,2
2019/3/28,0,3,2,3,3,0,0,0,3,10003,3,3,0,0.20 ,0.80 ,0.00 ,0.00 ,2,4,6,2
2019/3/29,0,0,2,0,0,0,2,0,2,10005,4,1,0,0.34 ,0.66 ,0.00 ,0.00 ,2,4,3,2
2019/3/30,0,0,0,0,2,2,2,0,0,10003,2,1,0,0.00 ,1.00 ,0.00 ,0.00 ,2,4,3,2
2019/3/31,0,0,0,0,3,3,3,0,0,10003,4,3,0,0.00 ,1.00 ,0.00 ,0.00 ,2,4,3,3
2019/4/1,0,0,0,0,2,3,3,0,0,10003,4,3,0,0.57 ,0.43 ,0.00 ,0.00 ,1,4,1,2
2019/4/2,0,0,0,2,1,0,1,0,0,10003,4,1,0,0.59 ,0.41 ,0.00 ,0.00 ,2,4,1,2
2019/4/3,2,1,0,3,3,4,4,0,4,10004,3,1,0,0.37 ,0.20 ,0.43 ,0.00 ,2,4,1,1
2019/4/4,0,0,3,0,5,4,5,2,3,10004,3,1,0,0.57 ,0.00 ,0.43 ,0.00 ,2,4,5,2
